k_hMpc,Pk_K2
0.00837758040957278,1006.225789622681
0.008590220202692981,1006.2241760717768
0.008808257220239287,1006.2224795738226
0.009031828454592468,1006.2206958649497
0.00926107437527467,1006.2188204621215
0.009496139017206246,1006.2168486518715
0.009737170071202705,1006.2147754784595
0.009984318976768668,1006.2125957314215
0.010237741017247115,1006.210303932479
0.010497595417383711,1006.2078943217756
0.010764045443367513,1006.2053608434078
0.011037258505410905,1006.2026971302108
0.01131740626293323,1006.1998964877649
0.011604664732414165,1006.1969518775776
0.01189921439798469,1006.1938558994049
0.012201240324824995,1006.1906007726623
0.012510932275440716,1006.1871783168826
0.012828484828890482,1006.1835799311693
0.01315409750303968,1006.1797965725948
0.01348797487991728,1006.1758187334902
0.013830326734254461,1006.1716364175683
0.014181368165285816,1006.1672391148205
0.014541319731895914,1006.1626157751259
0.01491040759119618,1006.1577547805044
0.01528886364061911,1006.1526439159464
0.015676925663619137,1006.1472703387446
0.01607483747907168,1006.1416205462522
0.01648284909446422,1006.1356803419861
0.01690121686297569,1006.1294347999911
0.017330203644542862,1006.122868227375
0.017770078971014888,1006.1159641249216
0.018221119215499865,1006.1087051456841
0.018683607766009643,1006.1010730514533
0.019157835203512198,1006.0930486669935
0.019644099484503266,1006.0846118319312
0.020142706128212035,1006.0757413501782
0.020653968408558498,1006.0664149367591
0.021178207550983038,1006.0566091619154
0.02171575293427198,1006.0462993923436
0.022266942297505858,1006.0354597294213
0.02283212195226044,1006.0240629442691
0.023411647000193877,1006.0120804094853
0.024005881556156593,1005.9994820273837
0.0246151989769642,1005.9862361545565
0.025239982095977102,1005.972309522575
0.02588062346363422,1005.9576671546295
0.026537525594091914,1005.9422722779047
0.027211101218123143,1005.9260862314713
0.027901773542435653,1005.9090683694631
0.028609976515572236,1005.8911759593058
0.029336155100560042,1005.8723640747403
0.030080765554480273,1005.8525854833778
0.03084427571513395,1005.8317905285105
0.03162716529498377,1005.809927004883
0.032429926182556884,1005.7869400281207
0.033253062751497794,1005.7627718974923
0.03409709217746569,1005.737361951669
0.03496254476307525,1005.710646417126
0.03584996427108511,1005.682558248813
0.036759908266043285,1005.6530269627052
0.037692948464604345,1005.6219784598217
0.03864967109473815,1005.5893348412839
0.039630677264056204,1005.5550142139596
0.0406365833374868,1005.518930486221
0.04166802132453629,1005.4809931533176
0.04272563927637991,1005.4411070718428
0.043810101693031435,1005.3991722227483
0.044922089940847766,1005.3550834623303
0.04606230268063048,1005.3087302605859
0.04723145630659357,1005.2599964263113
0.04843028539647298,1005.2087598182752
0.04965954317306095,1005.1548920417789
0.0509200019774548,1005.0982581298724
0.05221245375431795,1005.0387162084671
0.05353771054945773,1004.9761171445458
0.05489660502003274,1004.9103041766347
0.056289990957710236,1004.841112526661
0.0577187438251024,1004.7683689922818
0.059183761305818365,1004.6918915187211
0.06068596386847767,1004.6114887491149
0.06222629534503955,1004.5269595523091
0.06380572352381135,1004.4380925270171
0.06542524075750865,1004.3446654811813
0.06708586458674928,1004.2464448853426
0.06878863837937274,1004.1431852987592
0.07053463198598692,1004.0346287669655
0.07232494241215383,1003.9205041893995
0.07416069450763688,1003.8005266556702
0.07604304167314245,1003.6743967489742
0.07797316658500021,1003.5417998151036
0.07995228193823703,1003.4024051954246
0.0819816312085118,1003.2558654221377
0.0840624894333896,1003.1018153740567
0.08619616401344614,1002.9398713910801
0.08838399553370592,1002.7696303454427
0.09062735860593008,1002.5906686677746
0.0929276627322832,1002.4025413259047
0.09528635319092171,1002.2047807542773
0.09770491194406047,1001.9968957317656
0.1001848585690875,1001.7783702055891
0.10272775121331267,1001.5486620589606
0.10533518757294963,1001.3072018200037
0.10800880589694634,1001.0533913094073
0.11075028601629477,1000.7866022241986
0.1135613503994666,1000.5061746549374
0.11644376523463794,1000.2114155335548
0.11939934153938313,999.9015970089904
0.12242993629853477,999.5759547476999
0.12553745363092497,999.2336861560418
0.12872384598574071,998.8739485214873
0.13199111536924527,998.4958570695362
0.13534131460263613,998.0984829331722
0.13877654861182998,997.680851031646
0.14229897574998504,997.2419378553424
0.14591080915359142,996.7806691534649
0.14961431813298218,996.2959175212621
0.153411829598138,995.7864998835266
0.15730572952068178,995.2511748711242
0.16129846443298151,994.6886400873518
0.16539254296530376,994.0975292609944
0.16959053742198243,993.4764092830432
0.17389508539759455,992.8237771241635
0.17830889143415757,992.138056630158
0.18283472872038964,991.4175951928672
0.18747544083410056,990.6606602941908
0.19223394352880818,989.8654359211969
0.1971132265657025,989.0300188506304
0.20211635559210878,988.1524148015333
0.20724647406763017,987.2305344551552
0.21250680523917895,986.2621893418775
0.2179006541661388,985.2450875954993
0.22343140979692924,984.1768295759497
0.22910254709827768,983.0549033623103
0.23491762923853654,981.8766801189611
0.24088030982641742,980.6394093387172
0.24699433520654882,979.3402139680138
0.25326354681329966,977.9760854205332
0.25969188358434775,976.5438784871725
0.26628338443550903,975.0403061519323
0.2730421907983835,973.4619343251791
0.2799725492224115,971.8051765078294
0.28707881404297503,970.0662884023258
0.2943654501172212,968.2413624888444
0.3018370356293265,966.3263225880303
0.30949826496696387,964.3169184346917
0.3173539516707806,962.2087202903558
0.3254090314587399,959.9971136263845
0.333668565327226,957.6772939135308
0.3421377427308618,955.2442615583792
0.3508218848430368,952.692817032098
0.35972644789919334,950.0175562423693
0.36885702662497255,947.2128662052597
0.3782193577513731,944.2729210801983
0.3878193236191324,941.191678638147
0.39766295587459344,937.96287724051
0.4077564392593806,934.5800334143547
0.41810611549626514,931.0364401181099
0.4287184872736613,927.3251658011042
